xi,yi
$66.08,$4.13
$120.06,$2.61
$11.32,$5.66
$121.25,$9.66
$53.98,$1.93
$51.52,$24.19
$10.68,$0.98
$39.47,$32.35
$86.22,$8.05
$22.50,$4.82
$25.88,$11.71
$33.63,$17.70
$22.81,$9.16
$900.00,$900.00
$249.21,$249.21
$212.06,$2.12
$82.50,$0.02
$600.00,$2.50
$126.51,$204.05
$48.49,$73.47
$28.42,$18.10
$21.54,$16.32
$108.19,$251.61
$35.53,$53.83
$109.01,$213.75
$70.63,$141.25
$22.53,$18.32
$20.43,$21.06
$61.85,$140.57
$80.77,$161.54
$22.97,$16.06
$21.27,$15.30
$88.50,$196.66
$372.52,$9.80
$316.76,$9.32
$175.99,$5.87
$206.22,$29.46
$302.64,$37.83
$188.75,$37.75
$171.44,$21.43
$373.68,$41.52
$480.90,$16.03
$214.66,$30.67
$358.02,$39.78
$558.03,$9.79
$183.70,$18.37
$91.60,$18.32
$440.10,$16.30
$159.32,$11.38
$112.24,$14.03
$149.25,$9.95
$139.84,$4.37
$70.02,$23.34
$68.64,$4.29
$149.04,$3.24
$10.88,$5.44
$120.80,$9.63
$53.98,$1.93
$51.74,$24.29
$10.68,$0.98
$39.61,$32.47
$89.65,$8.37
$22.36,$4.79
$25.88,$11.71
$33.76,$17.77
$22.91,$9.20
$900.00,$900.00
$240.50,$240.50
$212.94,$2.13
$82.50,$0.02
$600.00,$2.50
$126.77,$204.47
$48.50,$73.49
$27.94,$17.79
$20.73,$15.71
$108.44,$252.19
$35.53,$53.83
$109.18,$214.08
$72.52,$145.04
$21.99,$17.87
$20.69,$21.33
$61.92,$140.72
$80.62,$161.24
$22.94,$16.04
$21.12,$15.19
$89.30,$198.45
$349.60,$9.20
$297.16,$8.74
$177.00,$5.90
$199.22,$28.46
$306.96,$38.37
$188.95,$37.79
$174.24,$21.78
$372.15,$41.35
$480.90,$16.03
$203.44,$29.06
$306.18,$34.02
$575.13,$10.09
$182.40,$18.24
$92.70,$18.54
$440.91,$16.33
$132.58,$9.47
$109.84,$13.73
$146.85,$9.79
$173.12,$5.41
$73.71,$24.57
$66.72,$4.17
$238.28,$5.18
$9.92,$4.96
$121.48,$9.68
$53.98,$1.93
$51.70,$24.27
$10.68,$0.98
$39.61,$32.47
$88.57,$8.27
$23.03,$4.93
$25.90,$11.72
$33.76,$17.77
$22.96,$9.22
$900.00,$900.00
$239.39,$239.39
$213.80,$2.14
$82.50,$0.02
$600.00,$2.50
$127.14,$205.07
$47.01,$71.23
$28.08,$17.89
$21.36,$16.18
$108.45,$252.22
$35.80,$54.24
$109.48,$214.67
$73.69,$147.37
$22.83,$18.56
$20.78,$21.42
$62.38,$141.78
$80.56,$161.11
$21.93,$15.34
$21.38,$15.38
$89.32,$198.48
$348.84,$9.18
$311.10,$9.15
$178.20,$5.94
$191.66,$27.38
$311.44,$38.93
$189.50,$37.90
$172.00,$21.50
$383.04,$42.56
$480.90,$16.03
$206.63,$29.52
$228.78,$25.42
$551.76,$9.68
$183.40,$18.34
$92.70,$18.54
$440.37,$16.31
$189.98,$13.57
$123.60,$15.45
$184.35,$12.29
$241.28,$7.54
$93.27,$31.09
$72.48,$4.53
$226.78,$4.93
$9.22,$4.61
$119.88,$9.55
$53.98,$1.93
$51.95,$24.39
$10.79,$0.99
$39.61,$32.47
$89.06,$8.32
$22.93,$4.91
$25.88,$11.71
$33.90,$17.84
$22.91,$9.20
$900.00,$900.00
$235.42,$235.42
$214.69,$2.15
$82.50,$0.02
$600.00,$2.50
$127.09,$204.99
$47.01,$71.23
$28.08,$17.89
$21.36,$16.18
$108.91,$253.28
$35.84,$54.31
$109.62,$214.95
$73.82,$147.64
$22.83,$18.56
$20.78,$21.42
$62.47,$141.98
$80.17,$160.33
$21.99,$15.38
$21.38,$15.38
$89.34,$198.53
$348.46,$9.17
$350.20,$10.30
$180.60,$6.02
$187.25,$26.75
$310.48,$38.81
$189.10,$37.82
$171.76,$21.47
$381.15,$42.35
$480.90,$16.03
$209.02,$29.86
$227.25,$25.25
$547.20,$9.60
$184.00,$18.40
$93.70,$18.74
$430.11,$15.93
$246.96,$17.64
$168.48,$21.06
$248.70,$16.58
$262.08,$8.19
$120.78,$40.26
$73.92,$4.62
$207.92,$4.52
$9.82,$4.91
$120.48,$9.60
$53.98,$1.93
$51.65,$24.25
$10.76,$0.99
$39.61,$32.47
$89.43,$8.35
$22.88,$4.90
$25.92,$11.73
$34.54,$18.18
$23.18,$9.31
$901.00,$901.00
$228.95,$228.95
$215.55,$2.16
$82.50,$0.02
$600.00,$2.50
$127.61,$205.83
$47.35,$71.74
$28.32,$18.04
$21.45,$16.25
$109.28,$254.13
$36.06,$54.64
$110.00,$215.68
$74.05,$148.09
$22.91,$18.63
$20.78,$21.42
$62.97,$143.12
$79.65,$159.29
$22.05,$15.42
$21.13,$15.20
$88.61,$196.91
$350.36,$9.22
$399.84,$11.76
$181.50,$6.05
$188.44,$26.92
$309.84,$38.73
$190.80,$38.16
$173.84,$21.73
$375.30,$41.70
$480.90,$16.03
$204.03,$29.15
$238.50,$26.50
$533.52,$9.36
$184.00,$18.40
$92.70,$18.54
$435.78,$16.14
$140.42,$10.03
$124.96,$15.62
$168.15,$11.21
$150.08,$4.69
$82.41,$27.47
$73.28,$4.58
$184.46,$4.01
$13.42,$6.71
$120.48,$9.60
$53.98,$1.93
$51.61,$24.23
$10.55,$0.97
$39.61,$32.47
$90.24,$8.43
$23.18,$4.96
$26.01,$11.77
$34.75,$18.29
$23.43,$9.41
$900.00,$900.00
$229.44,$229.44
$216.44,$2.16
$82.50,$0.02
$600.00,$2.50
$127.86,$206.23
$47.99,$72.71
$28.48,$18.14
$21.45,$16.25
$109.28,$254.13
$36.17,$54.81
$109.58,$214.87
$74.33,$148.65
$23.14,$18.81
$21.09,$21.74
$63.26,$143.78
$79.68,$159.36
$23.05,$16.12
$21.39,$15.39
$89.14,$198.09
$351.88,$9.26
$494.36,$14.54
$183.30,$6.11
$195.37,$27.91
$309.92,$38.74
$190.95,$38.19
$170.48,$21.31
$376.47,$41.83
$480.90,$16.03
$204.19,$29.17
$277.83,$30.87
$532.38,$9.34
$183.20,$18.32
$92.50,$18.50
$436.32,$16.16
$113.12,$8.08
$127.20,$15.90
$158.25,$10.55
$139.84,$4.37
$73.98,$24.66
$73.12,$4.57
$146.28,$3.18
$15.46,$7.73
$121.86,$9.71
$53.98,$1.93
$51.74,$24.29
$10.54,$0.97
$40.25,$32.99
$90.50,$8.45
$23.02,$4.93
$25.97,$11.75
$34.88,$18.36
$23.58,$9.47
$900.00,$900.00
$233.97,$233.97
$217.34,$2.17
$82.50,$0.02
$600.00,$2.50
$129.80,$209.36
$48.58,$73.61
$28.65,$18.25
$21.45,$16.25
$110.17,$256.21
$36.22,$54.88
$110.46,$216.58
$74.73,$149.46
$23.22,$18.88
$21.09,$21.74
$63.72,$144.82
$80.07,$160.13
$21.96,$15.36
$21.04,$15.14
$89.38,$198.63
$349.60,$9.20
$757.18,$22.27
$183.90,$6.13
$205.87,$29.41
$310.32,$38.79
$194.85,$38.97
$166.56,$20.82
$371.70,$41.30
$480.90,$16.03
$213.01,$30.43
$291.06,$32.34
$558.03,$9.79
$185.10,$18.51
$92.30,$18.46
$436.32,$16.16
$204.26,$14.59
$163.36,$20.42
$188.85,$12.59
$177.92,$5.56
$81.09,$27.03
$70.24,$4.39
$150.42,$3.27
$24.06,$12.03
$120.98,$9.64
$54.26,$1.94
$52.21,$24.51
$10.54,$0.97
$40.67,$33.34
$91.46,$8.54
$22.93,$4.91
$26.21,$11.86
$35.06,$18.45
$23.63,$9.49
$900.00,$900.00
$245.96,$245.96
$218.21,$2.18
$82.50,$0.02
$600.00,$2.50
$130.21,$210.02
$49.07,$74.35
$28.89,$18.40
$21.45,$16.25
$113.26,$263.40
$36.71,$55.62
$109.43,$214.57
$74.28,$148.56
$23.22,$18.88
$21.18,$21.84
$63.72,$144.82
$80.94,$161.87
$21.96,$15.36
$21.24,$15.28
$89.52,$198.94
$350.36,$9.22
$821.44,$24.16
$186.90,$6.23
$236.88,$33.84
$310.48,$38.81
$196.45,$39.29
$169.28,$21.16
$375.66,$41.74
$480.90,$16.03
$227.99,$32.57
$298.62,$33.18
$543.78,$9.54
$184.70,$18.47
$91.10,$18.22
$437.40,$16.20
$263.76,$18.84
$160.80,$20.10
$248.25,$16.55
$165.76,$5.18
$67.89,$22.63
$70.88,$4.43
$155.48,$3.38
$23.00,$11.50
$124.87,$9.95
$54.54,$1.95
$52.29,$24.55
$10.54,$0.97
$40.52,$33.21
$93.82,$8.76
$23.30,$4.99
$26.43,$11.96
$35.21,$18.53
$23.78,$9.55
$900.00,$900.00
$255.64,$255.64
$219.12,$2.19
$82.50,$0.02
$600.00,$2.50
$132.71,$214.05
$49.60,$75.15
$29.33,$18.68
$21.20,$16.06
$115.15,$267.80
$38.40,$58.18
$110.46,$216.58
$75.69,$151.38
$23.30,$18.94
$21.08,$21.73
$63.85,$145.12
$82.61,$165.22
$22.12,$15.47
$21.50,$15.47
$89.86,$199.69
$348.84,$9.18
$582.42,$17.13
$192.30,$6.41
$244.37,$34.91
$311.12,$38.89
$212.10,$42.42
$171.04,$21.38
$379.08,$42.12
$480.90,$16.03
$236.74,$33.82
$310.95,$34.55
$552.90,$9.70
$187.40,$18.74
$94.30,$18.86
$458.73,$16.99
$225.96,$16.14
$165.52,$20.69
$257.85,$17.19
$159.36,$4.98
$61.74,$20.58
$74.88,$4.68
$150.42,$3.27
$17.48,$8.74
$128.26,$10.22
$54.82,$1.96
$52.31,$24.56
$10.65,$0.98
$40.52,$33.21
$97.89,$9.14
$23.49,$5.03
$26.54,$12.01
$35.49,$18.68
$23.75,$9.54
$900.00,$900.00
$261.98,$261.98
$220.00,$2.20
$82.50,$0.02
$600.00,$2.50
$135.82,$219.07
$49.94,$75.67
$29.91,$19.05
$21.27,$16.11
$116.02,$269.82
$39.06,$59.18
$111.95,$219.50
$79.09,$158.18
$23.43,$19.05
$21.31,$21.97
$64.92,$147.54
$82.64,$165.28
$22.21,$15.53
$21.74,$15.64
$91.37,$203.04
$350.36,$9.22
$584.46,$17.19
$194.40,$6.48
$262.43,$37.49
$312.72,$39.09
$225.05,$45.01
$177.60,$22.20
$388.89,$43.21
$480.90,$16.03
$236.60,$33.80
$350.37,$38.93
$551.19,$9.67
$187.60,$18.76
$94.30,$18.86
$463.59,$17.17
$128.52,$9.18
$117.68,$14.71
$205.50,$13.70
$166.72,$5.21
$58.26,$19.42
$79.20,$4.95
$159.16,$3.46
$14.50,$7.25
$133.66,$10.65
$54.82,$1.96
$52.61,$24.70
$10.65,$0.98
$40.52,$33.21
$98.85,$9.23
$23.63,$5.06
$26.76,$12.11
$35.82,$18.85
$23.90,$9.60
$900.00,$900.00
$270.00,$270.00
$220.92,$2.21
$82.50,$0.02
$600.00,$2.50
$137.07,$221.08
$50.27,$76.16
$30.62,$19.50
$21.38,$16.20
$116.23,$270.31
$39.84,$60.37
$112.82,$221.21
$82.82,$165.63
$23.84,$19.38
$21.43,$22.09
$64.61,$146.84
$83.17,$166.34
$22.21,$15.53
$21.96,$15.80
$91.39,$203.08
$349.98,$9.21
$544.34,$16.01
$196.80,$6.56
$276.22,$39.46
$314.88,$39.36
$229.20,$45.84
$182.80,$22.85
$403.38,$44.82
$498.60,$16.62
$234.99,$33.57
$349.20,$38.80
$528.39,$9.27
$186.70,$18.67
$96.00,$19.20
$475.74,$17.62
$80.92,$5.78
$116.56,$14.57
$224.70,$14.98
$162.56,$5.08
$47.73,$15.91
$78.24,$4.89
$198.72,$4.32
$10.06,$5.03
$138.43,$11.03
$54.82,$1.96
$52.85,$24.81
$10.65,$0.98
$40.58,$33.26
$100.89,$9.42
$23.77,$5.09
$26.98,$12.21
$35.89,$18.89
$24.08,$9.67
$900.00,$900.00
$275.29,$275.29
$221.84,$2.22
$82.50,$0.02
$600.00,$2.50
$138.34,$223.13
$49.37,$74.81
$30.77,$19.60
$21.38,$16.20
$117.09,$272.31
$40.06,$60.70
$113.17,$221.91
$82.80,$165.60
$24.61,$20.01
$21.83,$22.50
$65.33,$148.48
$83.73,$167.46
$22.21,$15.53
$22.23,$15.99
$92.48,$205.50
$351.50,$9.25
$523.60,$15.40
$201.60,$6.72
$277.76,$39.68
$317.12,$39.64
$233.90,$46.78
$188.56,$23.57
$407.79,$45.31
$498.60,$16.62
$236.95,$33.85
$349.29,$38.81
$548.91,$9.63
$187.20,$18.72
$97.70,$19.54
$483.84,$17.92
$64.54,$4.61
$101.68,$12.71
$184.50,$12.30
$170.24,$5.32
$43.38,$14.46
$82.56,$5.16
$250.24,$5.44
$7.28,$3.64
$137.92,$10.99
$56.78,$2.03
$53.06,$24.91
$10.65,$0.98
$40.58,$33.26
$101.64,$9.49
$24.10,$5.16
$27.05,$12.24
$36.08,$18.99
$24.08,$9.67
$900.00,$900.00
$279.80,$279.80
$222.66,$2.23
$82.50,$0.02
$600.00,$2.50
$141.46,$228.16
$49.57,$75.11
$31.65,$20.16
$22.10,$16.74
$117.16,$272.46
$40.12,$60.79
$114.42,$224.36
$84.29,$168.58
$24.75,$20.12
$22.10,$22.78
$65.69,$149.30
$83.78,$167.55
$22.29,$15.59
$22.16,$15.94
$93.14,$206.97
$351.50,$9.25
$517.14,$15.21
$206.70,$6.89
$281.33,$40.19
$322.08,$40.26
$234.95,$46.99
$190.24,$23.78
$406.26,$45.14
$498.60,$16.62
$234.36,$33.48
$363.87,$40.43
$584.25,$10.25
$188.50,$18.85
$99.90,$19.98
$510.03,$18.89
$72.80,$5.20
$97.36,$12.17
$145.05,$9.67
$162.88,$5.09
$42.96,$14.32
$84.96,$5.31
$294.86,$6.41
$7.02,$3.51
$138.55,$11.04
$56.50,$2.02
$53.97,$25.34
$10.65,$0.98
$41.25,$33.81
$102.71,$9.59
$24.24,$5.19
$27.36,$12.38
$36.08,$18.99
$23.85,$9.58
$900.00,$900.00
$287.72,$287.72
$223.59,$2.24
$82.50,$0.02
$600.00,$2.50
$142.12,$229.23
$50.08,$75.88
$32.39,$20.63
$22.23,$16.84
$117.52,$273.31
$41.65,$63.11
$115.19,$225.87
$85.18,$170.35
$25.18,$20.47
$22.38,$23.07
$66.26,$150.60
$86.55,$173.09
$22.39,$15.66
$22.25,$16.01
$96.30,$214.01
$350.74,$9.23
$564.74,$16.61
$210.60,$7.02
$278.11,$39.73
$328.80,$41.10
$234.60,$46.92
$198.56,$24.82
$421.29,$46.81
$498.60,$16.62
$237.72,$33.96
$371.70,$41.30
$632.13,$11.09
$188.00,$18.80
$102.40,$20.48
$490.59,$18.17
$77.84,$5.56
$88.40,$11.05
$137.10,$9.14
$161.92,$5.06
$42.69,$14.23
$82.40,$5.15
$277.38,$6.03
$6.06,$3.03
$140.56,$11.20
$55.66,$1.99
$56.00,$26.29
$10.65,$0.98
$41.50,$34.02
$103.78,$9.69
$24.66,$5.28
$27.89,$12.62
$37.13,$19.54
$23.85,$9.58
$900.00,$900.00
$297.64,$297.64
$224.49,$2.24
$82.50,$0.02
$600.00,$2.50
$146.65,$236.54
$50.75,$76.89
$34.67,$22.08
$22.74,$17.23
$120.11,$279.33
$42.76,$64.79
$117.66,$230.71
$88.94,$177.87
$26.30,$21.38
$23.43,$24.15
$67.54,$153.50
$89.78,$179.55
$22.98,$16.07
$23.35,$16.80
$98.11,$218.03
$350.36,$9.22
$601.12,$17.68
$213.90,$7.13
$271.46,$38.78
$331.68,$41.46
$236.40,$47.28
$194.48,$24.31
$419.58,$46.62
$498.60,$16.62
$247.94,$35.42
$304.47,$33.83
$670.32,$11.76
$188.70,$18.87
$102.90,$20.58
$506.25,$18.75
$149.10,$10.65
$138.08,$17.26
$162.90,$10.86
$232.00,$7.25
$54.99,$18.33
$82.88,$5.18
$272.78,$5.93
$5.64,$2.82
$140.69,$11.21
$55.66,$1.99
$55.49,$26.05
$10.65,$0.98
$41.93,$34.37
$104.53,$9.76
$24.42,$5.23
$28.02,$12.68
$37.45,$19.71
$23.95,$9.62
$900.00,$900.00
$302.37,$302.37
$225.42,$2.25
$82.50,$0.02
$600.00,$2.50
$148.32,$239.23
$51.22,$77.60
$36.27,$23.10
$23.07,$17.48
$121.68,$282.98
$43.08,$65.28
$120.88,$237.02
$90.06,$180.12
$26.94,$21.90
$24.45,$25.21
$68.57,$155.84
$90.47,$180.94
$23.01,$16.09
$23.60,$16.98
$100.66,$223.69
$349.60,$9.20
$600.10,$17.65
$219.30,$7.31
$262.43,$37.49
$342.96,$42.87
$238.00,$47.60
$194.32,$24.29
$415.26,$46.14
$498.60,$16.62
$243.46,$34.78
$273.51,$30.39
$691.41,$12.13
$190.60,$19.06
$102.90,$20.58
$471.96,$17.48
$181.72,$12.98
$143.20,$17.90
$193.80,$12.92
$209.28,$6.54
$76.08,$25.36
$80.32,$5.02
$210.22,$4.57
$8.48,$4.24
$142.32,$11.34
$55.94,$2.00
$55.47,$26.04
$10.65,$0.98
$42.18,$34.57
$105.28,$9.83
$24.47,$5.24
$27.91,$12.63
$37.72,$19.85
$23.80,$9.56
$900.00,$900.00
$300.43,$300.43
$226.78,$2.27
$82.50,$0.02
$600.00,$2.50
$150.62,$242.93
$52.10,$78.94
$37.77,$24.06
$23.89,$18.10
$123.37,$286.90
$43.53,$65.96
$122.05,$239.32
$91.71,$183.42
$27.49,$22.35
$25.11,$25.89
$68.90,$156.58
$93.62,$187.23
$23.32,$16.31
$23.37,$16.81
$102.33,$227.40
$349.98,$9.21
$502.86,$14.79
$221.10,$7.37
$257.67,$36.81
$350.72,$43.84
$236.65,$47.33
$194.80,$24.35
$409.59,$45.51
$546.30,$18.21
$235.27,$33.61
$303.39,$33.71
$718.77,$12.61
$193.20,$19.32
$103.20,$20.64
$504.36,$18.68
$233.24,$16.66
$118.24,$14.78
$204.60,$13.64
$155.20,$4.85
$105.57,$35.19
$79.68,$4.98
$165.14,$3.59
$7.08,$3.54
$143.70,$11.45
$55.94,$2.00
$55.61,$26.11
$10.98,$1.01
$42.80,$35.08
$105.81,$9.88
$24.70,$5.29
$28.13,$12.73
$37.81,$19.90
$23.80,$9.56
$900.00,$900.00
$302.80,$302.80
$227.72,$2.28
$82.50,$0.02
$600.00,$2.50
$151.83,$244.88
$52.60,$79.70
$38.92,$24.79
$24.41,$18.49
$123.37,$286.90
$44.23,$67.02
$123.37,$241.91
$92.36,$184.72
$27.87,$22.66
$25.30,$26.08
$69.76,$158.54
$93.80,$187.59
$23.24,$16.25
$23.31,$16.77
$102.95,$228.78
$350.36,$9.22
$406.98,$11.97
$224.70,$7.49
$250.11,$35.73
$354.32,$44.29
$238.80,$47.76
$198.48,$24.81
$416.70,$46.30
$546.30,$18.21
$235.83,$33.69
$330.57,$36.73
$680.58,$11.94
$195.30,$19.53
$103.00,$20.60
$509.76,$18.88
$236.60,$16.90
$143.12,$17.89
$173.10,$11.54
$154.56,$4.83
$100.92,$33.64
$82.24,$5.14
$137.08,$2.98
$6.86,$3.43
$144.70,$11.53
$56.50,$2.02
$55.89,$26.24
$10.87,$1.00
$42.80,$35.08
$105.71,$9.87
$24.80,$5.31
$28.22,$12.77
$37.81,$19.90
$23.90,$9.60
$900.00,$900.00
$307.49,$307.49
$228.66,$2.29
$82.50,$0.02
$600.00,$2.50
$152.92,$246.65
$52.60,$79.69
$39.33,$25.05
$24.71,$18.72
$123.77,$287.83
$45.57,$69.04
$124.76,$244.62
$95.09,$190.17
$28.12,$22.86
$25.02,$25.79
$70.85,$161.02
$94.49,$188.98
$23.52,$16.45
$23.53,$16.93
$103.63,$230.28
$352.26,$9.27
$412.76,$12.14
$228.30,$7.61
$251.44,$35.92
$356.24,$44.53
$240.10,$48.02
$206.08,$25.76
$430.65,$47.85
$546.30,$18.21
$238.56,$34.08
$353.70,$39.30
$652.65,$11.45
$197.80,$19.78
$104.30,$20.86
$503.55,$18.65
$196.28,$14.02
$184.08,$23.01
$193.05,$12.87
$179.84,$5.62
$98.49,$32.83
$79.04,$4.94
$132.48,$2.88
$9.54,$4.77
$145.96,$11.63
$57.34,$2.05
$56.36,$26.46
$10.87,$1.00
$43.21,$35.42
$107.21,$10.01
$25.36,$5.43
$28.44,$12.87
$37.81,$19.90
$23.90,$9.60
$900.00,$900.00
$307.93,$307.93
$229.58,$2.30
$82.50,$0.02
$600.00,$2.50
$156.07,$251.73
$53.16,$80.55
$40.51,$25.80
$26.07,$19.75
$125.28,$291.34
$46.55,$70.53
$127.64,$250.28
$96.83,$193.66
$28.68,$23.32
$25.56,$26.35
$73.17,$166.30
$95.95,$191.89
$24.15,$16.89
$23.70,$17.05
$104.02,$231.15
$353.02,$9.29
$422.28,$12.42
$230.10,$7.67
$254.10,$36.30
$359.76,$44.97
$242.95,$48.59
$212.40,$26.55
$432.63,$48.07
$546.30,$18.21
$254.94,$36.42
$374.58,$41.62
$654.36,$11.48
$200.20,$20.02
$104.90,$20.98
$494.37,$18.31
$243.18,$17.37
$190.08,$23.76
$202.35,$13.49
$153.60,$4.80
$127.77,$42.59
$81.60,$5.10
$149.96,$3.26
$16.74,$8.37
$146.58,$11.68
$57.34,$2.05
$56.55,$26.55
$10.87,$1.00
$43.42,$35.59
$107.10,$10.00
$25.59,$5.48
$28.40,$12.85
$37.89,$19.94
$23.88,$9.59
$900.00,$900.00
$302.84,$302.84
$230.52,$2.31
$82.50,$0.02
$600.00,$2.50
$157.29,$253.69
$53.61,$81.23
$40.51,$25.80
$26.12,$19.79
$126.19,$293.47
$47.20,$71.52
$129.20,$253.34
$98.33,$196.65
$28.94,$23.53
$25.56,$26.35
$74.14,$168.49
$96.23,$192.46
$24.11,$16.86
$23.91,$17.20
$105.20,$233.78
$353.02,$9.29
$410.04,$12.06
$232.20,$7.74
$255.01,$36.43
$375.12,$46.89
$251.10,$50.22
$215.60,$26.95
$436.32,$48.48
$599.10,$19.97
$271.67,$38.81
$381.06,$42.34
$678.87,$11.91
$200.90,$20.09
$105.20,$21.04
$513.27,$19.01
$211.68,$15.12
$171.44,$21.43
$210.45,$14.03
$161.60,$5.05
$97.74,$32.58
$89.44,$5.59
$156.86,$3.41
$17.52,$8.76
$147.59,$11.76
$57.62,$2.06
$56.83,$26.68
$10.87,$1.00
$43.42,$35.59
$107.31,$10.02
$25.64,$5.49
$28.46,$12.88
$37.81,$19.90
$24.38,$9.79
$900.00,$900.00
$302.97,$302.97
$231.47,$2.31
$82.50,$0.02
$600.00,$2.50
$162.38,$261.91
$55.90,$84.69
$40.63,$25.88
$26.25,$19.89
$128.42,$298.64
$48.83,$73.98
$131.71,$258.25
$100.32,$200.64
$30.27,$24.61
$26.68,$27.51
$75.04,$170.55
$101.20,$202.39
$24.27,$16.97
$23.96,$17.24
$107.41,$238.69
$367.84,$9.68
$381.48,$11.22
$234.90,$7.83
$252.49,$36.07
$387.04,$48.38
$260.40,$52.08
$218.96,$27.37
$450.54,$50.06
$599.10,$19.97
$274.26,$39.18
$420.12,$46.68
$666.90,$11.70
$203.40,$20.34
$104.60,$20.92
$484.65,$17.95
$163.52,$11.68
$139.84,$17.48
$200.70,$13.38
$211.84,$6.62
$82.41,$27.47
$86.24,$5.39
$151.34,$3.29
$18.28,$9.14
$149.60,$11.92
$58.18,$2.08
$56.68,$26.61
$10.98,$1.01
$43.90,$35.98
$107.31,$10.02
$25.73,$5.51
$28.51,$12.90
$37.79,$19.89
$24.43,$9.81
$900.00,$900.00
$305.75,$305.75
$232.43,$2.32
$82.50,$0.02
$600.00,$2.50
$163.65,$263.95
$57.02,$86.40
$41.84,$26.65
$26.69,$20.22
$129.77,$301.80
$49.74,$75.36
$132.35,$259.50
$101.09,$202.17
$30.71,$24.97
$27.50,$28.35
$76.34,$173.51
$101.95,$203.90
$24.82,$17.36
$24.48,$17.61
$108.27,$240.61
$377.34,$9.93
$353.26,$10.39
$237.30,$7.91
$251.44,$35.92
$393.28,$49.16
$255.70,$51.14
$219.44,$27.43
$465.75,$51.75
$599.10,$19.97
$274.75,$39.25
$429.66,$47.74
$640.68,$11.24
$204.80,$20.48
$106.40,$21.28
$470.88,$17.44
$203.14,$14.51
$121.60,$15.20
$189.75,$12.65
$204.16,$6.38
$71.97,$23.99
$92.00,$5.75
$130.64,$2.84
$18.34,$9.17
$148.97,$11.87
$58.18,$2.08
$57.72,$27.10
$10.87,$1.00
$43.90,$35.98
$107.85,$10.07
$25.87,$5.54
$28.53,$12.91
$37.98,$19.99
$24.53,$9.85
$900.00,$900.00
$294.11,$294.11
$233.36,$2.33
$82.50,$0.02
$600.00,$2.50
$164.67,$265.60
$58.25,$88.25
$41.43,$26.39
$26.24,$19.88
$130.69,$303.94
$50.16,$76.00
$133.04,$260.86
$101.52,$203.04
$30.23,$24.58
$27.25,$28.09
$77.01,$175.03
$102.75,$205.49
$25.04,$17.51
$24.56,$17.67
$110.09,$244.64
$388.74,$10.23
$343.06,$10.09
$240.00,$8.00
$253.26,$36.18
$408.24,$51.03
$259.05,$51.81
$222.00,$27.75
$497.34,$55.26
$599.10,$19.97
$278.04,$39.72
$428.76,$47.64
$631.56,$11.08
$205.30,$20.53
$107.40,$21.48
$468.72,$17.36
$181.02,$12.93
$126.96,$15.87
$195.00,$13.00
$188.48,$5.89
$62.73,$20.91
$95.20,$5.95
$134.32,$2.92
$12.98,$6.49
$150.35,$11.98
$58.18,$2.08
$59.34,$27.86
$10.98,$1.01
$43.90,$35.98
$108.81,$10.16
$26.11,$5.59
$28.75,$13.01
$38.02,$20.01
$24.50,$9.84
$900.00,$900.00
$288.67,$288.67
$234.29,$2.34
$82.50,$0.02
$600.00,$2.50
$167.39,$269.99
$58.52,$88.67
$41.95,$26.72
$26.36,$19.97
$130.99,$304.63
$50.81,$76.99
$133.44,$261.65
$101.54,$203.07
$30.82,$25.06
$27.51,$28.36
$77.40,$175.90
$103.34,$206.68
$25.18,$17.61
$24.76,$17.81
$110.10,$244.67
$389.50,$10.25
$430.44,$12.66
$241.80,$8.06
$257.04,$36.72
$414.24,$51.78
$262.05,$52.41
$223.04,$27.88
$514.89,$57.21
$599.10,$19.97
$280.49,$40.07
$426.60,$47.40
$642.96,$11.28
$205.20,$20.52
$105.70,$21.14
$499.77,$18.51
$239.96,$17.14
$129.36,$16.17
$187.05,$12.47
$198.08,$6.19
$67.83,$22.61
$96.32,$6.02
$141.22,$3.07
$11.22,$5.61
$151.48,$12.07
$58.18,$2.08
$58.66,$27.54
$10.98,$1.01
$44.02,$36.08
$109.56,$10.23
$26.34,$5.64
$29.06,$13.15
$38.15,$20.08
$24.45,$9.82
$900.00,$900.00
$292.25,$292.25
$235.25,$2.35
$82.50,$0.02
$600.00,$2.50
$169.48,$273.36
$58.94,$89.30
$42.09,$26.81
$26.36,$19.97
$131.15,$305.00
$50.95,$77.20
$133.59,$261.94
$101.97,$203.93
$30.82,$25.06
$27.51,$28.36
$77.57,$176.30
$103.37,$206.74
$25.25,$17.66
$24.92,$17.93
$120.36,$267.46
$391.78,$10.31
$418.20,$12.30
$245.40,$8.18
$262.71,$37.53
$418.96,$52.37
$262.90,$52.58
$224.48,$28.06
$496.35,$55.15
$599.10,$19.97
$274.54,$39.22
$374.04,$41.56
$673.74,$11.82
$207.20,$20.72
$104.60,$20.92
$487.35,$18.05
$188.86,$13.49
$138.96,$17.37
$193.35,$12.89
$183.36,$5.73
$61.86,$20.62
$90.40,$5.65
$188.14,$4.09
$8.46,$4.23
$153.11,$12.20
$58.18,$2.08
$58.98,$27.69
$10.98,$1.01
$44.02,$36.08
$109.46,$10.22
$26.39,$5.65
$29.42,$13.31
$38.27,$20.14
$24.55,$9.86
$900.00,$900.00
$281.60,$281.60
$236.21,$2.36
$82.50,$0.02
$600.00,$2.50
$170.90,$275.64
$59.02,$89.42
$42.41,$27.01
